station,observation_time,temperature_c,dewpoint_c,dewpoint_spread_c,wind_direction_deg,wind_speed_kt,visibility_sm,ceiling_ft,flight_category,target_time,future_observation_time,future_flight_category
KCOS,2026-07-30 08:54:00+00:00,16.1,15.0,1.1,40,7,10.0,,VFR,2026-07-30 09:54:00+00:00,2026-07-30 09:54:00+00:00,VFR
KCOS,2026-07-30 09:54:00+00:00,16.7,15.0,1.7,90,6,10.0,,VFR,2026-07-30 10:54:00+00:00,2026-07-30 10:54:00+00:00,VFR
KCOS,2026-07-30 10:54:00+00:00,16.1,15.0,1.1,50,5,10.0,,VFR,2026-07-30 11:54:00+00:00,2026-07-30 11:54:00+00:00,VFR
KCOS,2026-07-30 11:54:00+00:00,15.0,13.9,1.1,30,6,10.0,,VFR,2026-07-30 12:54:00+00:00,2026-07-30 12:54:00+00:00,VFR
KCOS,2026-07-30 12:54:00+00:00,16.7,15.0,1.7,20,6,10.0,,VFR,2026-07-30 13:54:00+00:00,2026-07-30 13:54:00+00:00,VFR
KCOS,2026-07-30 13:54:00+00:00,20.0,15.6,4.4,30,3,10.0,,VFR,2026-07-30 14:54:00+00:00,2026-07-30 14:54:00+00:00,VFR
KCOS,2026-07-30 14:54:00+00:00,22.8,14.4,8.4,VRB,3,10.0,,VFR,2026-07-30 15:54:00+00:00,2026-07-30 15:54:00+00:00,VFR
KCOS,2026-07-30 15:54:00+00:00,25.0,15.0,10.0,120,3,10.0,,VFR,2026-07-30 16:54:00+00:00,2026-07-30 16:54:00+00:00,VFR
KCOS,2026-07-30 16:54:00+00:00,28.3,13.3,15.0,150,4,10.0,,VFR,2026-07-30 17:54:00+00:00,2026-07-30 17:54:00+00:00,VFR
KCOS,2026-07-30 17:54:00+00:00,30.6,11.7,18.9,VRB,3,10.0,,VFR,2026-07-30 18:54:00+00:00,2026-07-30 18:54:00+00:00,VFR
KCOS,2026-07-30 18:54:00+00:00,31.7,8.3,23.4,VRB,6,10.0,,VFR,2026-07-30 19:54:00+00:00,2026-07-30 19:54:00+00:00,VFR
KCOS,2026-07-30 19:54:00+00:00,32.8,7.2,25.6,330,7,10.0,,VFR,2026-07-30 20:54:00+00:00,2026-07-30 20:54:00+00:00,VFR
KCOS,2026-07-30 20:54:00+00:00,33.3,7.8,25.5,40,11,10.0,,VFR,2026-07-30 21:54:00+00:00,2026-07-30 21:54:00+00:00,VFR
KCOS,2026-07-30 21:54:00+00:00,32.2,7.2,25.0,200,7,10.0,10000.0,VFR,2026-07-30 22:54:00+00:00,2026-07-30 22:54:00+00:00,VFR
KCOS,2026-07-30 22:41:00+00:00,31.1,7.8,23.3,VRB,4,10.0,,VFR,2026-07-30 23:41:00+00:00,2026-07-30 23:54:00+00:00,VFR
KCOS,2026-07-30 22:54:00+00:00,30.6,7.8,22.8,70,7,10.0,,VFR,2026-07-30 23:54:00+00:00,2026-07-30 23:54:00+00:00,VFR
KCOS,2026-07-30 23:54:00+00:00,32.2,9.4,22.8,VRB,6,10.0,10000.0,VFR,2026-07-31 00:54:00+00:00,2026-07-31 00:54:00+00:00,VFR
KCOS,2026-07-31 00:15:00+00:00,30.6,10.6,20.0,110,11,10.0,,VFR,2026-07-31 01:15:00+00:00,2026-07-31 01:35:00+00:00,VFR
KCOS,2026-07-31 00:54:00+00:00,28.9,12.8,16.1,0,0,10.0,,VFR,2026-07-31 01:54:00+00:00,2026-07-31 01:54:00+00:00,VFR
KCOS,2026-07-31 01:35:00+00:00,28.3,8.3,20.0,30,13,10.0,,VFR,2026-07-31 02:35:00+00:00,2026-07-31 02:54:00+00:00,VFR
KCOS,2026-07-31 01:54:00+00:00,26.1,11.1,15.0,30,10,10.0,,VFR,2026-07-31 02:54:00+00:00,2026-07-31 02:54:00+00:00,VFR
KCOS,2026-07-31 02:54:00+00:00,25.0,10.0,15.0,VRB,5,10.0,,VFR,2026-07-31 03:54:00+00:00,2026-07-31 03:54:00+00:00,VFR
KCOS,2026-07-31 03:39:00+00:00,23.3,12.2,11.1,240,14,10.0,,VFR,2026-07-31 04:39:00+00:00,2026-07-31 04:54:00+00:00,VFR
KCOS,2026-07-31 03:54:00+00:00,21.7,12.8,8.9,180,6,10.0,,VFR,2026-07-31 04:54:00+00:00,2026-07-31 04:54:00+00:00,VFR
KCOS,2026-07-31 04:54:00+00:00,22.2,12.8,9.4,350,3,10.0,,VFR,2026-07-31 05:54:00+00:00,2026-07-31 05:54:00+00:00,VFR
KCOS,2026-07-31 05:54:00+00:00,22.2,11.7,10.5,310,4,10.0,,VFR,2026-07-31 06:54:00+00:00,2026-07-31 06:54:00+00:00,VFR
KCOS,2026-07-31 06:54:00+00:00,20.6,12.2,8.4,340,6,10.0,,VFR,2026-07-31 07:54:00+00:00,2026-07-31 07:54:00+00:00,VFR
KCOS,2026-07-31 07:54:00+00:00,22.8,9.4,13.4,350,15,10.0,,VFR,2026-07-31 08:54:00+00:00,2026-07-31 08:54:00+00:00,VFR
KCOS,2026-07-31 08:54:00+00:00,21.7,10.6,11.1,300,13,10.0,,VFR,2026-07-31 09:54:00+00:00,2026-07-31 09:54:00+00:00,VFR
KCOS,2026-07-31 09:54:00+00:00,21.1,11.7,9.4,320,12,10.0,,VFR,2026-07-31 10:54:00+00:00,2026-07-31 10:54:00+00:00,VFR
KCOS,2026-07-31 10:54:00+00:00,20.6,11.1,9.5,340,12,10.0,,VFR,2026-07-31 11:54:00+00:00,2026-07-31 11:54:00+00:00,VFR
KCOS,2026-07-31 11:54:00+00:00,20.0,10.6,9.4,340,13,10.0,,VFR,2026-07-31 12:54:00+00:00,2026-07-31 12:54:00+00:00,VFR
